1620081000000,0.81024000,0.81364000,0.80262000,0.81147000,2609695.60000000,1620081899999,2109883.34216900,4458,1513974.30000000,1224804.54838100,0
1620081900000,0.81151000,0.81396000,0.80636000,0.81090000,1986539.50000000,1620082799999,1611389.78896000,3576,976224.00000000,791764.38901900,0
1620082800000,0.81110000,0.81125000,0.80528000,0.80528000,1187051.60000000,1620083699999,959056.68262000,2283,621135.90000000,501728.23888600,0
1620083700000,0.80543000,0.80543000,0.79453000,0.79836000,2617311.50000000,1620084599999,2092534.11460500,4669,1171135.50000000,936495.27309400,0
1620084600000,0.79833000,0.80334000,0.79606000,0.79958000,1747546.80000000,1620085499999,1396984.59856300,3235,1016800.40000000,812940.45268100,0
1620085500000,0.79960000,0.80048000,0.79300000,0.79482000,1572011.50000000,1620086399999,1252689.04082800,3377,764938.90000000,609657.25237500,0
1620086400000,0.79469000,0.79597000,0.77780000,0.77878000,4366268.60000000,1620087299999,3428655.32428300,7950,1790043.00000000,1405723.92828300,0
1620087300000,0.77913000,0.78961000,0.77844000,0.78025000,2269784.80000000,1620088199999,1780615.06925200,3891,1095883.50000000,859779.74984900,0
1620088200000,0.78025000,0.78489000,0.77406000,0.78197000,3106299.40000000,1620089099999,2419032.29640100,4977,1435123.80000000,1118147.85702300,0
1620089100000,0.78200000,0.78393000,0.75122000,0.75501000,7110535.40000000,1620089999999,5441787.04229100,13712,2819593.50000000,2157947.47865800,0
1620090000000,0.75640000,0.77171000,0.75253000,0.77171000,4075797.30000000,1620090899999,3111718.72908800,7866,2116250.00000000,1616031.48439400,0
1620090900000,0.77174000,0.78114000,0.77005000,0.77621000,2850499.40000000,1620091799999,2214822.35215000,5992,1391458.40000000,1081178.31868500,0
1620091800000,0.77621000,0.77742000,0.76432000,0.77006000,3387800.10000000,1620092699999,2605692.39464900,5973,1565172.90000000,1204226.16772500,0
1620092700000,0.76983000,0.77517000,0.76877000,0.77111000,1486058.10000000,1620093599999,1147282.34776900,3091,796277.40000000,614693.69772200,0
1620093600000,0.77110000,0.77905000,0.76900000,0.77706000,1474583.10000000,1620094499999,1144457.75478300,3689,761659.20000000,591228.26024700,0
1620094500000,0.77729000,0.77785000,0.76256000,0.76633000,1939333.90000000,1620095399999,1491565.54819600,3616,676811.60000000,520435.15395300,0
1620095400000,0.76601000,0.77559000,0.76450000,0.77081000,1372656.10000000,1620096299999,1058059.00790100,3340,718675.10000000,554005.65998800,0
1620096300000,0.77089000,0.77400000,0.76126000,0.76900000,1198699.80000000,1620097199999,919409.43232900,2750,587971.90000000,450945.89341200,0
1620097200000,0.76847000,0.76910000,0.75422000,0.76129000,2462463.30000000,1620098099999,1877004.36966700,4111,919716.10000000,700970.31933500,0
1620098100000,0.76129000,0.76875000,0.75862000,0.76805000,1602895.10000000,1620098999999,1223879.92930900,3964,687239.30000000,524768.03407300,0
1620099000000,0.76834000,0.76834000,0.76020000,0.76144000,1339678.00000000,1620099899999,1022939.65590700,3017,664215.30000000,507084.47613600,0
1620099900000,0.76122000,0.76329000,0.75000000,0.75819000,3212794.40000000,1620100799999,2428157.91251800,8068,1254448.40000000,948884.02912200,0
1620100800000,0.75827000,0.77225000,0.75347000,0.77205000,2539235.70000000,1620101699999,1939389.81981700,4740,1407058.90000000,1074756.65212200,0
1620101700000,0.77194000,0.78009000,0.76929000,0.77666000,2727768.60000000,1620102599999,2114042.79278100,5529,1257136.40000000,974928.44960000,0
1620102600000,0.77703000,0.77931000,0.77400000,0.77719000,1673364.30000000,1620103499999,1299287.42104500,2367,925982.90000000,719021.01646600,0
1620103500000,0.77723000,0.78343000,0.77563000,0.78200000,1145289.90000000,1620104399999,893890.38582700,2524,543954.50000000,424547.01771900,0
1620104400000,0.78200000,0.79000000,0.78009000,0.78538000,3625180.50000000,1620105299999,2843207.07002600,5410,1659823.70000000,1302053.72231800,0
1620105300000,0.78555000,0.78845000,0.78318000,0.78594000,1136020.20000000,1620106199999,892950.85030900,2128,556798.50000000,437691.56883500,0
1620106200000,0.78592000,0.78755000,0.78017000,0.78032000,1045846.60000000,1620107099999,819609.88199300,2110,421489.60000000,330324.24790400,0
1620107100000,0.78032000,0.78807000,0.78003000,0.78673000,1015460.50000000,1620107999999,796248.68433600,1987,545835.30000000,427944.76967000,0
1620108000000,0.78731000,0.79143000,0.78650000,0.78871000,1347710.90000000,1620108899999,1063590.35085200,2485,690043.20000000,544574.46581200,0
1620108900000,0.78870000,0.79000000,0.78500000,0.78635000,995862.70000000,1620109799999,784366.18529000,1633,581630.80000000,458150.62055100,0
1620109800000,0.78669000,0.79210000,0.78536000,0.78793000,1192642.10000000,1620110699999,941323.02607100,2050,620499.60000000,489970.89156600,0
1620110700000,0.78803000,0.79200000,0.78539000,0.79171000,909780.40000000,1620111599999,718094.94537200,1828,431691.70000000,340929.68141000,0
1620111600000,0.79148000,0.79891000,0.79148000,0.79412000,3186018.50000000,1620112499999,2535237.49903400,4024,1516169.30000000,1206304.43598700,0
1620112500000,0.79417000,0.79828000,0.78700000,0.78865000,3241391.90000000,1620113399999,2573542.93832100,3581,1741766.10000000,1383520.62075400,0
1620113400000,0.78849000,0.79179000,0.77500000,0.77567000,5870163.10000000,1620114299999,4587286.54669500,7498,1911234.30000000,1494220.98006900,0
1620114300000,0.77589000,0.77800000,0.76249000,0.76419000,5691986.90000000,1620115199999,4373515.46003200,8684,1995616.60000000,1534120.37532700,0
1620115200000,0.76413000,0.76726000,0.75485000,0.75715000,4456635.10000000,1620116099999,3393975.16112200,6228,2005121.20000000,1527746.18393100,0
1620116100000,0.75799000,0.76822000,0.75644000,0.76634000,4240090.70000000,1620116999999,3240107.93144500,5814,1847746.40000000,1411326.11740600,0
1620117000000,0.76610000,0.77175000,0.76377000,0.76377000,2233953.80000000,1620117899999,1711254.45807600,3962,969769.20000000,743682.14378800,0
1620117900000,0.76377000,0.77900000,0.76377000,0.77400000,4288210.40000000,1620118799999,3318949.56657400,8460,1684195.10000000,1303014.63480100,0
